car_time_s,bike_time_s,did_car_won
269.62797999045597,256.29950549049545,True
179.6121154114751,149.3863385127538,True
194.90868810514496,183.9516180127099,True
424.8329315091638,184.18894042206,True
219.57127376353887,127.65759116930735,True
374.2160127866967,185.11533182126976,True
196.50511751763963,178.14070318393132,True
256.8089446522093,215.06408911734877,True
263.7778277287706,188.51157155227614,True
159.31677765422887,163.34045862362302,False
270.39746356848707,194.2098385362969,True
282.8860873717134,187.09495023832557,True
319.2522977672403,274.3529638798168,True
211.7840168302621,195.93410474910368,True
277.9786648354875,238.84839559984323,True
178.22177225739873,323.2014816083381,False
173.13980954728726,208.37832967752723,False
195.46924283450943,209.12432682224727,False
202.88960549674132,171.59457061399348,True
292.3663810444577,185.46568142905318,True
256.13398996754626,217.68172247393332,True
159.89122247188538,231.06490181080738,False
217.1810949637525,227.35978288530143,False
194.4732008564535,159.36027653008736,True
314.9739574561388,167.08709667993773,True
376.9192277630778,203.41970239272277,True
314.2852787499163,225.25243383324778,True
394.8769172804595,252.9964626497163,True
232.66365800205824,130.116116896389,True
269.4477691949132,178.5844317466727,True
153.78069801044353,259.5671787401117,False
235.13036311401373,185.73057059050072,True
264.88327300802774,352.51660621570727,False
218.40244115068066,257.54646051651713,False
275.1494639584465,199.82950778642103,True
184.8679584147784,261.89254937778765,False
277.54377407780146,191.5000355053514,True
196.33997505920894,198.84471007155426,False
227.79997540768315,320.90819286103346,False
186.15477052298115,258.5156021869768,False
207.4074855726862,187.83781276996262,True
218.8065233088082,220.8302670117386,False
235.68946769469136,249.2871448066152,False
208.0025426634898,207.18491563991748,True
195.00054788643882,149.58862215442528,True
305.61895716826757,204.4964815882467,True
199.97488018221551,180.18879468250458,True
269.8878560172577,288.4063113989949,False
257.51396626871343,194.79515015094418,True
186.3654681636355,228.15610864105156,False
428.1068697624604,247.82765017824258,True
357.9305125647586,146.98855021271348,True
368.0937066326977,193.8617581320612,True
221.29370812669953,243.91954420788662,False
234.97993756544065,278.3033027015412,False
307.40257336300346,185.67550078221382,True
221.38870267673718,185.02810738909602,True
327.4823100496751,188.74282952135266,True
203.60804048976567,225.52900062830764,False
235.71264598936708,205.1621079945049,True
217.0642908105322,235.7295623004098,False
179.38387123700738,179.8824684451973,False
176.7977526631999,191.21132390635822,False
516.7410888715931,167.78977578944574,True
180.98284650178786,175.09232497762767,True
279.84842499723914,255.52719764579405,True
384.7016651311152,208.1013021883128,True
371.29246488542367,197.21715920534052,True
447.5035730302383,154.22046297481313,True
190.57278273960162,229.88913679322644,False
320.3253704011589,197.68055325252553,True
279.1252773507065,377.5609754690206,False
170.34445606810038,198.74378859016275,False
239.68436647523686,233.18536106119055,True
227.13196261263153,262.12043291006967,False
271.73326507258304,212.96421999472804,True
264.59076412616577,177.59749376319544,True
162.86293803894267,183.78472051349044,False
209.17656032963183,209.06004142416438,True
268.2294425125668,225.79421019848496,True
323.1785758053521,152.2404646561221,True
220.1561882875982,223.03792966187618,False
304.89255577276356,262.6665012119496,True
177.4484819087055,175.7682655837022,True
336.6451620742023,154.77899961183658,True
305.4937382848015,246.32747428941863,True
384.01871650259625,176.18195050936768,True
273.26791891790674,182.60853310987383,True
255.21715474688324,240.54767967489212,True
190.88861307494884,237.52053964274722,False
206.83948915035847,174.74829599328098,True
183.72420669232844,193.3987896168047,False
274.65779886649483,187.8395611809391,True
234.03375503674982,170.134310666453,True
353.4795127721012,239.4967694925397,True
209.80570007967714,184.14059228586044,True
267.44611016830254,264.85013612868096,True
268.86976706779325,169.33596575614746,True
199.46835659928007,238.4609596513162,False
279.700309209098,212.07680810047748,True
